Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
IKBKG	IKBKG;AMCBX1;FIP-3;FIP3;Fip3p;IKK-gamma;IKKAP1;IKKG;IMD33;IP;IP1;IP2;IPD2;NEMO;ZC2HC9	8517	GeneID:8517;HGNC:HGNC:5961;MIM:300248;ensembl_gene_id:ENSG00000269335	Homo sapiens	NFKB2;NFKB1;ZFAND5;TRPC4AP;PPM1B;IKBKB;TNFRSF1A;TNFAIP3;TANK;RIPK2;RIPK1;NCOA3;CARD8;CHUK;IRAK1;TRAF6;PIDD1;PRKCQ;EEF1A1;GTF2E1;HCLS1;ID1;ID3;PA2G4;POLR2B;POLR2D;POLR2E;RNF4;SUPT5H;TAF7;TARBP2;LZTR1;CYLD;BIRC2;TRAF2;PLK1;MAP3K7;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRKN;UBC;MIB2;RPAP3;ERC1;ERC1;CDKN1A;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;TRIM40;MAVS;NFKBIA;NOD2;IKBKG;RAB11FIP3;RAB11FIP3;ATM;TRIM23;HTT;TAB3;PIAS4;BIRC3;MALT1;ASAP1;ASAP2;ASAP3;ACAP1;ACAP2;TNIP2;TAB2;RACGAP1;BAG3;DYNC1LI1;CREBBP;TBK1;ANXA1;CARD10;BCL10;TRAF3IP2;RNF31;TRIM5;SRC;CIAPIN1;HSP90AA1;IKBKE;USP2;RNF11;AURKA;TPX2;PARP10;EGLN3;DDX58;GIT2;CCHCR1;CCHCR1;CCHCR1;CCHCR1;CCHCR1;CCHCR1;HLA-DQA1;HLA-DQA1;HLA-DQA1;HLA-DQA1;HLA-DQA1;HLA-DQA1;HLA-DQA1;CLIC1;CLIC1;CLIC1;CLIC1;CLIC1;CLIC1;CLIC1;ABCA1;CASP6;DDIT3;GFAP;GLO1;GUCY1A1;HPD;CALCOCO2;KANSL2;GCC1;HDLBP;KCMF1;PPFIA1;PPP1CC;ZC3H12A;USP10;FYN;LYN;FGR;PPP4C;CDC37;FKBP5;MTOR;RPTOR;TRIM13;MAPRE1;SHARPIN;RBCK1;EGFR;INHA;TPM1;LTBR;Cdc37;GSK3B;RALBP1;PARP1;MACROD1;TRAF1;USP18;TRIM14;RNF31;SMN1;SMN1;SMN1;TLR3;OPTN;MAP3K14;SYNC;FAM196A;ARNTL2;TRIM29;HIF1A;EPAS1;TES;IFIT5;RRN11;RIPK4;ARNT;ANGPTL8;RAB11A;RAB8A;SPATA2;UBASH3A;RUBCN;UBE2I;TRIM37;RAN;PHB;KEAP1;TRADD;FADD;AMOT;KLHL21;VAMP3;LZIC;AKR7A2;DNAJC8;KPNA6;LCK;DOCK7;ZZZ3;SSX2IP;RBM8A;PBXIP1;MUC1;RUSC1;ACBD6;CNTN2;CENPF;NTPCR;RBM34;SDCCAG8;HPCAL1;ALK;PRKD3;PRKCE;ALMS1;CCDC138;MERTK;MAP3K2;AMMECR1L;PLEKHB2;MZT2A;EPHA4;ATG16L1;STK25;LMCD1;OSBPL10;MYD88;ATRIP;RHOA;PHF7;ARF4;KPNA1;PARP14;CCDC14;MUC13;RBP1;RNF7;ATR;PRKCI;SENP2;MYL5;GRK4;TEC;ODAM;NAP1L5;SCLT1;TMA16;NUP155;MSH3;CETN3;TSLP;HSPA4;PPP2CA;CSNK1A1;TNIP1;G3BP1;MED7;ITK;NHP2;SQSTM1;FLT4;TRIM41;TBC1D7;TRIM31;TRIM26;HSPA1A;PSMB8;TCP11;SRPK1;HSP90AB1;ROS1;RPS12;SGK1;STX11;SASH1;NUP43;CARD11;RADIL;TAX1BP1;CDK13;GNGT1;KPNA7;MCM7;TRIP6;ARF5;LUC7L2;CUL1;CNOT7;NEFM;RAB11FIP1;GINS4;WWP1;CALB1;MYC;FAM83H;JAK2;CAAP1;TEK;POLR1E;PCSK5;DAPK1;GADD45G;ROR2;PDCL;NTMT1;WDR5;NRARP;MCM10;RET;NRBF2;CCAR1;USP54;POLR3A;IDE;AVPI1;BTRC;SHTN1;TCP11L1;LPXN;ZBTB3;FRMD8;RELA;RPS6KB2;AIP;AMOTL1;PPP2R1B;ZPR1;NLRX1;IRAK4;KRT8;KRT18;PFDN5;CDK2;RPL41;CDK4;SYT1;HSP90B1;ARL6IP4;MPHOSPH9;LNX2;FLT3;TPT1;RBM26;ARGLU1;GEMIN2;ARF6;PSMA3;MPP5;SNW1;TRAF3;AKT1;TYRO3;MYO5C;ARPP19;KIF23;HBZ;NMRAL1;USP7;PRKCB;TNRC6A;INO80E;CPNE2;DDX19B;APRT;UBB;MPRIP;COPS3;ADAP2;MLLT6;KRT16;KRT17;TUBG1;CUEDC1;TTYH2;SEPT9;ACTG1;ARHGDIA;CSNK1D;RBBP8;BCL2;PLEKHJ1;RAB11B;TNPO2;GADD45GIP1;C19orf57;JAK3;C19orf12;NFKBIB;NUMBL;PNMA8A;NLRP2;NSFL1C;COMMD7;NECAB3;PCK1;TCP10L;KIAA1671;NF2;MCM5;LGALS2;TRIOBP;H1F0;TAB1;TNRC6B;GYG2;TCEANC;EIF1AX;PIM2;ATG16L1;SDCCAG8;TRIM31;TRIM26;HSPA1A;PSMB8;FAM83H;NMRAL1;MLLT6;SEPT9;NLRP2;TRIM31;TRIM26;HSPA1A;PSMB8;NLRP2;TRIM31;TRIM26;HSPA1A;PSMB8;NLRP2;TRIM31;TRIM26;PSMB8;NLRP2;TRIM31;TRIM26;PSMB8;NLRP2;TRIM31;TRIM26;HSPA1A;PSMB8;NLRP2;TRIM31;TRIM26;PSMB8;NLRP2;NLRP2;NLRP2;Ikbkb;SQSTM1;KPNA7;DNAJC8	Physical Interaction	
IRAK1	IRAK1;IRAK;pelle	3654	GeneID:3654;HGNC:HGNC:6112;MIM:300283;ensembl_gene_id:ENSG00000184216	Homo sapiens	SIGIRR;AKT1;MYD88;IL1RAP;SQSTM1;TRAF6;TOLLIP;TLR2;TIFA;IRAK4;ITGAM;IRAK1;IKBKG;PELI3;TAB2;PELI1;PELI2;CAMKK2;CLN3;PPP2CA;MYC;TLR4;TLR9;MAP3K7;IRAK2;IRAK3;IRF4;IRF7;IRF7;TIRAP;SARM1;TMEM173;UNC93B1;Rsad2;RCAN1;IL1R1;MAPK14;CUL3;CDC37;BTK;STAT3;STAT1;Il1r1;VASP;PINK1;IL1RL1;TNFRSF13B;MMS19;MAP3K3;NXF1;Peli1;CCDC8;SSX2IP;CEP104;STIL;XPO1;SQSTM1;CDH1;EGFR;EGLN3;TRIM14;RIPK4;MAPK6;TNIP2;WWOX;HSPA8;AMBRA1;RC3H1;BICD1;RSAD2;BCL2L14;BCL2L14;MS4A4A;SLC15A3;PRKCZ;TARDBP;SLC2A1;BCL10;ATP1A1;LMNA;CCT3;COQ8A;HIST3H3;CCT4;CCT7;IMMT;SNRNP200;IL1B;IQSEC1;PRKCD;TOMM70;CCT5;YTHDC2;HSPA4;FBXW11;HLA-A;BAG2;IRAK1BP1;TNFAIP3;SASH1;TCP1;CCT6A;HSPB1;SLC25A13;CAV1;CALU;CUL1;IKBKB;DNAJA1;TRIM32;SEC16A;OPTN;HNRNPF;PPP3CB;CHUK;BTRC;BAG3;RCN1;STIP1;ATP5F1B;CCT2;RNF31;HSP90AA1;STUB1;DNAJA3;DNAJA2;SLC7A5;TRAF4;RHOT1;CCDC47;SLC25A10;EEF2;TIMM50;NLRP12;CCT8;ST13;MAGED1;PJA1;AIFM1;EMD;HLA-A;DNAJA3;HLA-A;HLA-A;HLA-A;HLA-A;HLA-A;HLA-A;HIST3H3;RNF31	Physical Interaction;Genetic Interaction	
IRAK4	IRAK4;IPD1;IRAK-4;NY-REN-64;REN64	51135	GeneID:51135;HGNC:HGNC:17967;MIM:606883;ensembl_gene_id:ENSG00000198001	Homo sapiens	MYD88;TRAF6;IRAK3;TIRAP;IL1R1;IRAK1;PELI2;PELI1;IL1RL1;TNFRSF13B;ARNT;IKBKG;KIF11;VSIG8;IRAK2;HIST1H1A;HIST1H1C;HIST1H1T;HIST1H1E;HIST1H1D;HIST1H1B;SASH1;EIF4EBP1;TLR4;PELI3;MBP	Physical Interaction	1-(3-HYDROXYPROPYL)-2-[(3-NITROBENZOYL)AMINO]-1H-BENZIMIDAZOL-5-YL PIVALATE
IRF3	IRF3;IIAE7	3661	GeneID:3661;HGNC:HGNC:6118;HPRD:04769;MIM:603734;ensembl_gene_id:ENSG00000126456	Homo sapiens	IRF7;IRF7;PPIP5K1;TBK1;IKBKE;DDX58;TANK;EWSR1;TRIM21;IRF3;SOCS1;HDAC3;CREBBP;XIAP;CUL1;PIN1;HERC5;HSP90AA1;MAPK8;MAPK9;EP300;TOMM70;PIAS4;SMAD2;SMAD4;MAFB;POLR2A;TMEM173;TRAF3IP2;XPO1;ULK1;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;TRIM26;POLR2A;MAVS;TRAF3;DDX3X;CBL;TRIM25;FBXO17;FBXO7;OTUD1;APEX1;ZC3H12A;PRDX1;DOCK7;ADGRL2;GLMN;SORT1;PSMA5;PEX19;CCDC88A;DCTN1;HK2;USP19;WDR82;SLMAP;KIT;TLR2;C5orf34;PPP2CA;WRNIP1;IRF5;ESYT2;MSRA;SMC2;TRAF2;TUBB8;TEX36;DEAF1;TRAF6;FOXO1;RB1;IPO5;SALL2;AKT1;SYNGR3;RBL2;MAP3K14;ANKRD40;BCAS3;FASN;MOCOS;SGTA;TICAM1;FKBP8;RBL1;Mavs;ASMTL;SMC1A;TRO;ASMTL;DEAF1;MSRA	Physical Interaction	
IRF7	IRF7;IMD39;IRF-7H;IRF7A;IRF7B;IRF7C;IRF7H	3665	GeneID:3665;HGNC:HGNC:6122;MIM:605047;ensembl_gene_id:ENSG00000276561;ensembl_gene_id:ENSG00000185507	Homo sapiens	IRF3;IRF7;IRF7;TANK;ALK;MYD88;TRAF6;FADD;TNFAIP3;Gbp4;TRIM28;TBK1;IRAK1;Dlg4;Dlg4;PIAS4;SMAD3;SMAD4;SMAD2;MAFB;NMI;GCLM;ACADS;INSR;SUMO2;SUMO3;TP53;RNF31;RNF31;SOCS1;SOCS3;CCT3;CAD;TRMT61B;CCT4;CCT7;HK2;RAF1;IQSEC1;QARS;DNAJB11;POLR2B;CCT5;DIMT1;MAP1B;TUBB2A;HACE1;TCP1;CCT6A;OTUD1;PALD1;P4HA1;DEAF1;TRIM21;COPB1;AIP;TUBA1C;CCT2;DYNC1H1;CREBBP;VPS4A;TUBB3;EFTUD2;TLK2;CCDC47;KPNA2;FASN;MAVS;LTN1;CCT8;CHAF1B;TRMT2A;EP300;ARAF;DEAF1	Physical Interaction	
ITCH	ITCH;ADMFD;AIF4;AIP4;NAPP1	83737	GeneID:83737;HGNC:HGNC:13890;MIM:606409;ensembl_gene_id:ENSG00000078747;ensembl_gene_id:ENSG00000283472	Homo sapiens	NEDD9;SFN;NUMB;SCNN1A;SCNN1B;ATN1;CXCR4;ARRB2;ARRB1;ITCH;NFE2;CFLAR;TP53;ERBB4;USP13;TP73;YAP1;FYN;SMAD7;MLANA;POLR2A;CPSF6;SH3GL2;HGS;CBLC;Ndfip1;OCLN;OCLN;SNX9;SNX18;RNF11;NDFIP2;SPART;MAP2K4;SRC;CYLD;SH3GLB1;GLI1;TNFRSF10B;LATS1;TOLLIP;ARRDC1;JUN;SMAD2;TGFBR1;AMOT;ELAVL1;TAX1BP1;TRAF6;STAM;STAM2;MAVS;PCBP2;ARHGEF7;PRKACA;CSNK2A1;SGK3;TXNIP;MAPK8;DVL1;DVL2;DVL3;USP12;BECN1;KLF10;DTX1;CUL3;MDM2;GNAI2;POU5F1;POU5F1;POU5F1;POU5F1;POU5F1;POU5F1;POU5F1;MGRN1;ARRDC3;ARRDC4;ADRB2;TP63;RASSF5;UBE2D3;WWOX;DTX3L;SMAD6;EGFR;HTT;ATXN3;PTCH1;GSN;GGA3;GBA;GBA;FAM189B;FAM189B;TMEM51;TMEM171;PLEKHB2;GRAP2;FAM189A2;WBP1;TMEM255A;TMEM92;LDLRAD4;TP53BP2;NCOA1;MAP3K7;NDFIP1;LITAF;TAB1;GLIS3;LDLRAD3;IKBKB;UBE2L3;POLR2A;SMN1;SMN1;SMN1;RASSF1;WWP2;SARAF;ILDR1;UBE2M;WBP2;MARVELD2;MARVELD2;HNRNPL;MTSS1;CFTR;UBE2L6;LRP6;LRP6;TNIP2;HAVCR1;UBE2D2;LRRK1;SUFU;Arrb2;KDM6B;MYC;KRAS;VIRMA;UBE2D1;PHB;DISC1;BRAF;UBE2J2;ARID1A;LAPTM5;RPAP2;DDX20;UBAP2L;UBE2Q1;SCAMP3;YOD1;BIN1;UBE2E3;RAF1;UBE2E2;UBE2E1;PDCD6IP;WDR48;SMARCC1;UBE2K;POLR2B;UBA6;RIPK1;PACSIN1;UBE2D4;CAV1;WWP1;PABPC1;UBE2R2;UBAP2;NOTCH1;FBXL15;CPSF7;SLC3A2;SF1;CBL;USP5;LRRK2;RPAP3;SMARCC2;TRPV4;UBC;SMAD3;UBE2Q2;N4BP1;NUDT21;POLR2C;UBE2G1;SMARCE1;KPNB1;KPNA2;GRB2;UBE2O;CDC34;POLR2E;DAZAP1;SH3GL1;JUNB;URI1;HNRNPUL1;SLC1A5;PCNA;UBE2C;ITSN1;COL18A1;Snx9;BID;Sh3gl3;EWSR1;Cttn;GEMIN8;USP9X;UBA1;ARAF;HDAC6;Snx18;Sptan1;Sh3glb2;Src;Sh3gl2;SCAMP3;Pi4k2a;Pacsin2;Stac;Sh3gl1;Cd2ap;Lasp1;Grb2;Dbnl;Amph;Bin1;Pacsin1	Physical Interaction;Chemical Interaction	Clomipramine
JUN	JUN;AP-1;AP1;c-Jun;p39	3725	GeneID:3725;HGNC:HGNC:6204;HPRD:01302;MIM:165160;ensembl_gene_id:ENSG00000177606	Homo sapiens	NELFB;NCOA6;NCOA1;BRCA1;AR;ATF2;RBM39;ATF3;MAPK8;NR3C1;PHOX2A;HDAC3;FOS;BCL3;CREBBP;FOSL1;FOSL2;ERG;COPS5;JUN;GTF2B;TBP;TGIF1;SMAD2;SPI1;RELA;VAV1;DDIT3;SMAD3;PRKD1;SPIB;PIN1;TSC22D3;ETS2;NACA;MAPK3;VDR;CREB5;NRIP1;RUNX2;RUNX1;PML;STAT3;STAT1;NCOR2;RB1;NFYA;SP1;MAPK9;BCL6;GATA2;HMGA1;ATF4;JDP2;PPP3CB;CDKN1A;RPS6KA2;ITCH;CSK;DACH1;MAZ;CEBPA;SIRT1;KAT7;EDF1;EP300;PIAS2;PIAS1;STAT6;MBD3;CREB1;PPP2R2D;RNF187;IKBKB;HIF1A;MAPK1;MTA1;KDM2B;FBXL12;COPS2;AP1G1;NECAP1;AMPH;CSNK2A1;ITPK1;ITPK1;TRAF2;MAP3K1;BATF3;MAPK10;MAP2K4;MAP2K7;NFATC2;MUC1;PRKDC;TCL1A;SMARCD3;BATF2;EPAS1;CEBPE;CEBPG;HDGF;CASP9;ETS1;MDM2;CORO7;CORO7;ABL1;GSK3B;PPP3CA;KAT2B;PPARG;PARP1;ETV4;MAPK8IP1;UBE2I;MAPK14;DEUP1;CCNDBP1;TRIP4;EWSR1;KLF5;MEF2A;NFATC1;DNMT3L;UBXN7;FBXW7;NFE2L2;ARNT;NFAT5;RNF187;ZBTB7C;ESR1;RALBP1;ARIH1;JUNB;ARHGAP22;MLLT6;MLLT6;EXOC1;TPM3;CCDC97;CLEC3A;NCKIPSD;AHCYL2;MAX;PHLDB3;PHF21A;OIP5;CCDC93;COP1;USP6;MTDH;YAP1;BLM;EGLN3;HIRA;UBN1;ASF1A;COPS6;TNIP2;CRBN;DAXX;DAXX;DAXX;DAXX;DAXX;VRK1;SOX2;TP73;CCND1;VIRMA;XRCC6;Lmo7;HIST1H4A;CDC4;SKI;HDAC1;INPP5B;MACF1;SARS;TRIM33;MEF2D;APOA2;DHX9;MAPRE3;MTA3;DARS;HOXD13;STAT4;SATB2;SUMO1;SATB1;SMARCC1;POU1F1;PDS5A;BEND4;BBS7;CLINT1;NKX2-5;RACK1;TFAP2A;PRRC2A;VARS;GOPC;ETV1;HDAC9;KMT2C;GTF2E2;MYC;EEF1D;HAUS6;CREB3;IARS;NR5A1;DDX21;EBF3;ARNTL;MYOD1;TSG101;ARRB1;HSPA8;APLP2;M6PR;ATF7;SMARCC2;UBC;GTF2F2;LMO7;NFATC4;SIX4;BATF;HSP90AA1;NEDD4;ARID3B;PPP4C;CSNK2A2;BANP;RABEP1;CHD3;NCOR1;LIG3;TOP2A;SMARCE1;CAVIN1;NBR1;NFE2L1;HOXB9;KPNA2;RPRD1A;SMAD4;GTF2F1;KHSRP;HNRNPM;TMED1;NFIX;NR2F6;JUND;FOSB;STRN4;NAT14;CEBPB;TAF4;APP;SMARCB1;GGA1;RANGAP1;TCF20;TAF1;NKRF;TCF20;TCF20;VARS;EEF1D;TAF4;SMARCB1;TCF20;PRRC2A;VARS;PRRC2A;VARS;TCF20;PRRC2A;PRRC2A;VARS;PRRC2A;VARS;PRRC2A;VARS;Smarcb1;Senp2;Smarca2;NFATC4	Physical Interaction;Genetic Interaction	Vinblastine;Arsenic trioxide;Irbesartan;Pseudoephedrine
MAP2K3	MAP2K3;MAPKK3;MEK3;MKK3;PRKMK3;SAPKK-2;SAPKK2	5606	GeneID:5606;HGNC:HGNC:6843;MIM:602315;ensembl_gene_id:ENSG00000034152	Homo sapiens	SMAD7;MAPK8IP2;Mapk14;Mapk14;MAP3K4;TAOK2;PLCB2;NPHS1;MAPK14;MYC;TINF2;PTPA;MAP3K2;MAP2K3;MAP3K3;LRRK2;PKN1;ARRB1;MAP3K5;ALDOC;EGFR;MAP2K6;MYH6;FOXA3;FOXL1;FOXS1;SNW1;TINF2;DUSP2;CD70;TRIM25;TES;HNRNPL;ARAF;BECN1;EPHA2;FGFR4;MAP2K5;NF2;PDGFRA;RAF1;RASSF1;STK11;BRAF;CBLC;FZR1;GLIS2;GLIS2;KDELR2;LATS2;NF1;NFIC;PTEN;PTEN;SMAD1;TEAD2;TERT;TP53;TGFB1;MATN2;AGO2;MAD2L2;TPT1;NR2C2;APEX1;DVL1;TARDBP;CDC42;CDKN2C;ARNT;DHX9;PCBP1;HSPD1;TRIP12;NCL;RPL29;RPL24;ANKRD17;RPS3A;DIMT1;NPM1;TUBB;SRPK1;CDK6;SRPK2;MET;RPL7;RPL30;YWHAZ;RPS6;CDKN2B;HNRNPK;CDK9;GOLGA2;MICAL2;CD44;MAPK8IP1;BUD13;CCND2;RPS26;CDK4;RPL21;HIF1A;DDX24;HSP90AA1;AKT1;RPL4;SMAD3;MAPK8IP3;ZNF598;MAPK3;RPL13;TUBB3;RPL19;ERBB2;KAT2A;HOXB9;SPAG9;DDX5;RPS28;ILF3;HNRNPUL1;RPL28;U2AF2;AURKA;APP;RPL3;SLC25A5;TUBB;DDX24;TUBB;TUBB;TUBB;TUBB;TUBB;TUBB	Physical Interaction;Genetic Interaction	
MAP2K4	MAP2K4;JNKK;JNKK1;MAPKK4;MEK4;MKK4;PRKMK4;SAPKK-1;SAPKK1;SEK1;SERK1;SKK1	6416	GeneID:6416;HGNC:HGNC:6844;HPRD:03213;MIM:601335;ensembl_gene_id:ENSG00000065559	Homo sapiens	FLNC;SPAG9;MAP4K2;MAP3K8;AKT1;MAPK8IP3;MAP3K11;MAP3K4;ARRB2;MAPK8;MAP3K2;MAP3K1;NPHS1;ITCH;BLNK;MAPK9;MAP2K6;MAP3K5;MAP2K4;MAP3K3;LRRK2;MAP3K7;ARRB1;MAPK10;GCH1;GEMIN5;EGFR;MAP3K10;NBR1;MAP2K7;CDC5L;UBC;TRIM25;APEX1;KTI12;JUN;FLNB;MAPK14;PML;RBBP8;VASP;APP;MAPK1;Flna	Physical Interaction;Genetic Interaction	
MAP2K6	MAP2K6;MAPKK6;MEK6;MKK6;PRKMK6;SAPKK-3;SAPKK3	5608	GeneID:5608;HGNC:HGNC:6846;HPRD:03155;MIM:601254;ensembl_gene_id:ENSG00000108984	Homo sapiens	MAP3K7;SMAD7;MAP3K5;Mapk14;Mapk14;MAP3K4;TAOK2;PLCB2;NPHS1;MAP2K3;PTEN;PTEN;MAPK14;TLR3;LRRK2;MAPK12;PKN1;MLH1;FBXO31;TRAF6;DUSP4;MAP2K6;BRAF;RASSF1;FBXO7;APP;EPHA2;GADD45A;MAPKAPK2;RAF1;FGFR4;RACK1;HGF;CDKN2B;HRAS;RELA;CCND2;AKT1;MAP2K5;ZG16B;GLIS2;MAP2K4;BECN1;STK11;CST1;MAPK1;ZG16B;HRAS;GLIS2	Physical Interaction;Genetic Interaction	
MAP2K7	MAP2K7;JNKK2;MAPKK7;MEK;MEK 7;MKK7;PRKMK7;SAPKK-4;SAPKK4	5609	GeneID:5609;HGNC:HGNC:6847;MIM:603014;ensembl_gene_id:ENSG00000076984	Homo sapiens	MAP3K20;GADD45B;Dusp22;MAPK8IP2;DUSP19;MAP2K4;MAPK8IP3;MAP3K11;MAP3K12;MAP3K13;MAPK14;MAPK8;MAP3K2;ALK;ELAVL1;MYC;MAP3K1;LRRK2;MAPK9;MAPK1;MAPK8IP1;VRK2;HSP90AA1;ATF4;LPXN;FBXO6;MAP3K3;C4BPB;BSG;SPACA1;ANTXR1;DLK1;VSIG4;XPO1;Evpl;Klc2;Smchd1;MAP3K7;SNW1;CDC5L;IL13RA2;LAMP3;PROZ;TPCN2;ADAM32;ADAM32;PCDHGA5;LRP1;NRAS;BRAF;RANBP2;DMPK;CKM;LCK;ITGB7;FABP4;AXL;CDKN1A;LTN1;ATG16L1;ATG16L1;RPS6KA1;RPS6KA1;RPS6KA2;BMH1;BMH2;JUN;BCL10;HSPE1;ILKAP;WDR6;GSK3B;MAP3K5;MAP3K4;RPL30;ALDOA;MAPT;MAP3K10;PTGIR;PRODH;MAPT;MAPT	Physical Interaction;Genetic Interaction	
MAP3K7	MAP3K7;CSCF;FMD2;MEKK7;TAK1;TGF1a	6885	GeneID:6885;HGNC:HGNC:6859;HPRD:04011;MIM:602614;ensembl_gene_id:ENSG00000135341	Homo sapiens	TAB1;TAB2;TAB3;TRAF6;TRAF2;SMAD7;TNFRSF11A;MAP4K1;MAP3K7;PPM1B;SMAD6;MAP3K14;CHUK;MAP3K5;TIRAP;MYD88;IKBKB;Pebp1;TGFBR1;RIPK1;PELI3;SOCS3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;RIPK2;MIB2;PPP6C;PRKCQ;MAPK6;ARRB2;TLR3;Trim30a;TNFRSF1A;RBCK1;USP4;MAP3K3;IRAK1;TRIM8;XIAP;MAPK8;NAIP;NAIP;NAIP;EDARADD;YEATS2;STAT3;NLK;TRIM5;ROR2;TGFBR2;STE11;NOD2;TRAF3IP2;IL17RA;POLE4;HCFC1;WDR34;TAOK2;TAOK1;PPP2R1A;PINK1;YWHAE;YWHAE;MALT1;VRK2;MAPK8IP1;PPM1L;MAP2K4;MAP2K6;IKBKG;SYK;SIK1;SIK3;STUB1;TRAF4;HSPB1;MAGED1;ECSIT;CARD8;PRMT2;CARNMT1;PSMC3;KAT2A;MED4;XPO1;RBM7;Zbtb48;IL17RD;MCM2;PDPK1;RNF4;TRAF3;USP18;FBXL17;TRAIP;CRBN;Pparg;MUL1;CARD11;EMILIN1;SYNC;AARSD1;TH;PCDH20;CCDC102B;TBL1Y;SCRN1;KERA;IL17RC;HSPBP1;THBS3;UBC;CYLD;ELP1;FYB1;TNIK;IFIT5;HIRA;HIF1AN;EGLN3;Il17rd;YAP1;UBE2M;RNF31;RNF31;UBASH3A;ESR2;SNAI1;EZR;TOMM20;Notch4;Notch4;Notch4;Notch4;PLEKHM1;PLEKHM1;PLEKHM1;SHARPIN;ZNF593;BCL10;DR1;TRAF5;EIF2AK2;MAP4K4;STRADB;TADA3;RUVBL1;SKIL;NDUFS6;PRKAA1;NDFIP1;RACK1;HSPA1L;SASH1;HIPK2;EZH2;ZNF746;COPS5;RNF19A;FBXW5;RELA;ATM;USP2;ERC1;DAZAP2;BBS10;PRKAB1;NFKBIA;DAAM1;HSP90AA1;SIVA1;SMAD3;SGF29;CLTC;HGS;MAP2K7;CDC37;BST2;PPP5C;MAVS;ITCH;Notch1;Mapkbp1;Notch2;RBX1;ERC1;HSPA1L;HSPA1L;HSPA1L;HSPA1L;RUVBL1	Physical Interaction;Genetic Interaction	
