Gene	Synonyms	GeneID	Aliases	Organism	Interaction	Interaction_Type	Drug
CAPN1	CAPN1;CANP;CANP1;CANPL1;muCANP;muCL;SPG76	823	GeneID:823;HGNC:HGNC:1476;HPRD:00253;MIM:114220;ensembl_gene_id:ENSG00000014216	Homo sapiens	PSEN2;CAST;NFKBIA;CLEC4G;RAD21;ARRB2;SIRT7;ECT2;FN1;VCAM1;ITGA4;BAG3;HNRNPD;BCCIP;CNDP2;EIF4E;EIF6;G6PD;GNS;LDHAL6B;PEPD;PFAS;SLC9A3R1;PPP4R3B;YWHAQ;TP53;NMT1;LGALS3;KNG1;FNTB;CAPNS2;GSTO1;MAN2A1;NTRK1;CEP164;KATNA1;Snrnp70;FBXL12;MCM2;CAPN8;TBC1D22B;ZIC1;HNRNPL;TRIM14;ATXN3;MAP2K1;TRIP4;TGFB1;YAP1;ESR2;DPF2;AGR2;MYC;TNIP2;PRDM16;NHLRC2;HNRNPR;RPS6KA1;TINAGL1;GBP2;NES;NIT1;CREG1;CAPN2;ACTN2;FHL2;GLS;DES;TRIP12;ATP6V1A;EIF2A;ANKRD17;RAP1GDS1;MTREX;F2R;HSPA9;SLIT3;CD109;SYNCRIP;ATG5;BZW2;RP9;NEFM;FNTA;GPT;FANCG;FANCC;SPTAN1;ASS1;PTGDS;VIM;INA;CASP7;ECHS1;GAS2;MYBPC3;POLA2;CTSC;GRIN2B;CARS2;PRMT5;KTN1;HIF1A;AKT1;ACTC1;PALB2;GINS3;GINS2;MVD;FANCA;STAT3;MAPT;NFE2L1;COL1A1;COG1;AES;EEF2;NDUFB7;CAPNS1;SH3BGR;GLA;CD99L2;RPS6KA1;MAPT;MAPT	Physical Interaction	N-[N-[1-Hydroxycarboxyethyl-Carbonyl]Leucylamino-Butyl]-Guanidine;(2S)-4-METHYL-2-(3-PHENYLTHIOUREIDO)-N-((3S)-TETRAHYDRO-2-HYDROXY-3-FURANYL)PENTANAMIDE
CASP3	CASP3;CPP32;CPP32B;SCA-1	836	GeneID:836;HGNC:HGNC:1504;HPRD:02799;MIM:600636;ensembl_gene_id:ENSG00000164305	Homo sapiens	CFLAR;DCC;XIAP;BIRC7;SREBF2;BIRC5;HSPD1;CASP3;CASP8;BIRC3;BIRC2;CASP10;HSPB1;ELAVL1;BIRC6;CDK2;CASP9;ZBTB16;CRYAB;GZMB;TNFSF10;Gzmb;BAX;BAG3;IDH3B;PTTG1;CASP6;CDC42;MAP3K14;RAD51;STK3;LSM14B;SLC35A1;KCNA10;MAPK14;TP53;TRAF2;DFFA;MCL1;ARNT;RNF2;PARP1;AKT3;SOCS5;STAT1;HSPE1;NDUFS1;MLH1;GORASP1;CTNNB1;HCLS1;PAK2;USO1;GLRX;FBXW11;MAPK9;GMNN;MDC1;CDKN1A;HEY2;ARMT1;DBNL;YWHAG;COPS6;MET;CASP2;PRKDC;ERP44;TRAF1;GSN;SPTAN1;VIM;MAPK8;PARG;BTRC;CASP7;CTTN;SP1;PTGES3;MDM2;RB1;TRAF3;PLA2G4B;BLM;LCMT1;THAP11;CDH1;BECN1;MAPT;ARHGDIA;ROCK1;BCL2;SERPINB8;EEF2;ATG4D;PKN1;STK4;APP;BID;RBX1;BMX;GATA1;GRIPAP1;AKT3;MDC1;MAPT;MDC1;MAPT;MDC1;MDC1;MDC1;MDC1;MDC1;NDUFS1	Physical Interaction;Genetic Interaction	(1S)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate;(1S)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate;methyl (3S)-3-[(tert-butoxycarbonyl)amino]-4-oxopentanoate;5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid;1-METHYL-5-(2-PHENOXYMETHYL-PYRROLIDINE-1-SULFONYL)-1H-INDOLE-2,3-DIONE;4-[5-(2-CARBOXY-1-FORMYL-ETHYLCARBAMOYL)-PYRIDIN-3-YL]-BENZOIC ACID;[N-(3-DIBENZYLCARBAMOYL-OXIRANECARBONYL)-HYDRAZINO]-ACETIC ACID;Minocycline;N-[3-(2-fluoroethoxy)phenyl]-N'-(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-6-yl)butanediamide;2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID
CASP4	CASP4;ICE(rel)II;ICEREL-II;ICH-2;Mih1;Mih1/TX;TX	837	GeneID:837;HGNC:HGNC:1505;HPRD:04047;MIM:602664;ensembl_gene_id:ENSG00000196954	Homo sapiens	APAF1;XIAP;NOD1;CASP10;CASP8;CASP14;TRAF6;SERPINB9;RS1;CASP5;CTNNBIP1;MSH6;IL37;SRPRB;UFL1;MTHFD1L;PSMB1;DNAAF5;VDAC3;SMC2;GSN;SMC3;SLC25A22;CASP1;IL18;CDK2;GCN1;NUP93;MYCBPAP;APP;MYH9;EIF2S3;USP9X;SMC1A;ELF4	Physical Interaction	
CASP8	CASP8;ALPS2B;CAP4;Casp-8;FLICE;MACH;MCH5	841	GeneID:841;HGNC:HGNC:1509;HPRD:03459;MIM:601763;ensembl_gene_id:ENSG00000064012	Homo sapiens	BID;EZR;FAS;MAPK8;MSN;CASP10;RHOA;ARHGDIA;FASLG;CASP8;TFCP2;CFLAR;FADD;BCAP31;TNFRSF10A;TNFRSF10B;APAF1;NOD1;PEA15;BCL2;HIP1;IFT57;CASP6;CHUK;IKBKB;DEDD2;DEDD;CASP8AP2;CASP14;AIF1;MCA1;RALGDS;PTEN;PTEN;RIPK1;KHDRBS1;MAP1LC3B;MAP1LC3A;TNFSF10;CEBPB;TRAF6;BFAR;BFAR;TP53;LRRK2;FIS1;CUL3;TRAF2;GZMB;SQSTM1;HECTD3;TNF;TNF;TNF;TNF;TNF;TNF;TNF;TNF;PRDX6;BAX;ERLIN2;RNF34;XIAP;BIRC2;BIRC3;BLM;GMNN;MLKL;Ppp2r1a;Vangl1;CASP8AP2;SQSTM1;TLR3;OPTN;RYBP;RYBP;SERPINB9;MAPK14;FAF1;TNFAIP3;SRC;MYC;BECN1;TRADD;RIPK3;RIPK3;DYNC1LI1;DYNC1LI2;PARK7;ERRFI1;MTOR;CASP9;YBX1;VPS45;S100A14;IL24;PARP1;PDIA6;GREB1;NLRC4;BIRC6;VHL;PRSS50;BAP1;UMPS;CNBP;PRKCI;SOX2;QDPR;CASP3;PPP2CA;CARD11;AGR3;COPS6;HBP1;CASP2;NSD3;PRDM14;ATAD2;TOPORS;TRAF1;CDK9;VIM;SORBS1;CASP7;SCGB2A2;CASP4;CASP1;CRYAB;USP2;BLID;CHEK1;ST14;TNFRSF1A;CDKN1B;HDAC7;NR1H4;UBC;EPSTI1;RB1;PLA2G4B;BCL2L10;GLCE;NOL3;CDH13;CHD3;CASC3;PSMC3IP;MAP3K14;MAPT;RALBP1;PIK3C3;SERPINB5;PLIN4;TICAM1;ANGPTL4;ATG4D;CLIP3;ATP1A3;LYPD3;KLK5;KLK9;BCL2L1;MAPK1;SNRPD3;BEX1;TSC22D3;IL13RA2;MAPT;MAPT;Sqstm1;HBP1;ced-4	Physical Interaction;Genetic Interaction	
CASP9	CASP9;APAF-3;APAF3;ICE-LAP6;MCH6;PPP1R56	842	GeneID:842;HGNC:HGNC:1511;HPRD:03756;MIM:602234;ensembl_gene_id:ENSG00000132906	Homo sapiens	XIAP;APAF1;MAPK1;BIRC2;BIRC3;BCL2L1;NOD1;NLRP1;CASP8;CASP2;CASP10;BIRC5;BIRC6;BIRC7;CASP3;VCP;BRCA1;CASP7;SQSTM1;PTCH1;ABL1;BAX;RNF34;CYCS;SQSTM1;BIRC8;HECTD3;CASP9;BICD2;JUN;ARNT;MSTO1;RNF2;NAIP;HSD17B4;HIP1;CRYAB;RB1;DCC;NAIP;NAIP	Physical Interaction;Genetic Interaction	
CDK5	CDK5;LIS7;PSSALRE	1020	GeneID:1020;HGNC:HGNC:1774;HPRD:00449;MIM:123831;ensembl_gene_id:ENSG00000164885	Homo sapiens	STXBP1;NES;NDEL1;GAK;CABLES2;CDK5RAP2;BRCA1;STX1A;TP53;PRKN;HDAC4;CDK5R1;NEDD4;Cdk1;PCNA;NEDD4L;Nedd4;RPL34;CDC37;MAST1;PSEN1;RNF32;ECT2;CDKN1B;CDKN1A;UCHL1;CDC25B;CDK5;EGFR;CHFR;CCND2;FZR1;CCNI2;CCND3;FIBP;HTR6;FBXW11;NUBP2;NTRK1;CEP128;NF2;YBX3;CCND1;CCNA2;CNPPD1;AURKC;SCYL2;DIS3;SUB1;UBE2A;HIF1AN;EGLN3;RPTOR;HEXIM1;LARP7;BRD2;BRD2;BRD2;BRD2;BRD2;BRD2;BRD2;AKT2;NRAS;LRRK2;MAPT;MAPT;MAPT;DAB1;SH3GLB1;GBP1;CCT3;PRCC;CDK18;KIF26B;CCT4;CCT7;HTRA2;GORASP2;PIKFYVE;RPE;PPARG;DCLK3;CDC25A;ALAS1;PIK3CA;SEPT11;CCNI;CCT5;CCNB1;CDC25C;HIST1H1A;HIST1H1B;BAG6;HMGA1;HSP90AB1;TCP1;SEPT7;AMPH;CCT6A;CDK14;LMTK2;ODF1;TLN1;CDK20;DNM1;GLUD1;STIP1;PAK1;CHORDC1;C2CD5;COPZ1;SARNP;NDUFA4L2;CCT2;RB1;HSP90AA1;IGF1R;STUB1;TRAP1;TMEM94;CDK3;AATK;CABLES1;MBP;CCNE1;APP;CCT8;DRG1;H1F0;Suds3;CDK16;KIF26B;BAG6;BAG6;BAG6;BAG6;BAG6;BAG6;CHORDC1	Physical Interaction;Genetic Interaction	Indirubin-3'-Monoxime;Flavopiridol;6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE;Alsterpaullone;SU9516;Hymenialdisine;Olomoucine
DDIT3	DDIT3;C/EBPzeta;CEBPZ;CHOP;CHOP-10;CHOP10;GADD153	1649	GeneID:1649;HGNC:HGNC:2726;MIM:126337;ensembl_gene_id:ENSG00000175197	Homo sapiens	CEBPG;CSNK2A1;CEBPB;RPS3A;MAPK14;CEBPE;COPS7A;CDK6;BATF2;BATF;ATF3;ATF4;EPAS1;DBP;DDIT3;PPIB;EP300;HDAC1;HDAC5;HDAC6;DNMT3L;SPOP;GABBR2;GABBR1;GABBR1;GABBR1;GABBR1;GABBR1;GABBR1;GABBR1;CEBPA;PRKN;RRD1;HSPA5;PCM1;HSD17B14;FOSL2;FUS;RPS3;FOS;ARID1A;JUN;BATF3;ATF2;CUL3;COPS8;SMARCC1;PBRM1;AMOTL2;ACTL6A;SRA1;ZSCAN31;BACH2;ARID1B;HOXA5;CUL1;SMARCD3;SMARCA2;CREB3;NFIL3;MCMBP;LMO2;CREB3L1;F2;VPS37C;DPF2;FOSL1;EMSY;PICALM;CCDC153;ARID2;SMARCD1;SMARCC2;POLR1D;ZBTB25;DPF3;ZC3H14;TEDC1;SNAPC5;CREBBP;FANCA;GP1BA;TNFSF12;COPS3;RAI1;ATPAF2;TAF15;SMARCE1;SMARCD2;KPNA2;MAFG;SS18;KEAP1;SMARCA4;JUNB;GIPC1;JUND;TRIB3;BACH1;DGCR2;SMARCB1;EWSR1;MAFF;RTL6;SSX3;IKBKG;TAF15;SMARCB1;BACH2	Physical Interaction	
DNAJC3	DNAJC3;ACPHD;ERdj6;HP58;P58;P58IPK;PRKRI	5611	GeneID:5611;HGNC:HGNC:9439;HPRD:03114;MIM:601184;ensembl_gene_id:ENSG00000102580	Homo sapiens	EIF2AK3;THAP12;CLEC18A;GRPEL1;HSPA4;HSPA9;HSPH1;P4HB;PDIA6;TCTN3;TCTN1;TRIM25;HNRNPL;PTPRO;LAMP1;EIF2AK2;HSPA5;HSPA14;HYOU1;HSPA8;HYOU1	Physical Interaction;Genetic Interaction	
EIF2AK1	EIF2AK1;HCR;HRI	27102	GeneID:27102;HGNC:HGNC:24921;HPRD:10684;MIM:613635;ensembl_gene_id:ENSG00000086232	Homo sapiens	CDC37;LIG4;HSP90AA1;MDM2;FASLG;CDK6;DELE1;HSPA8;DDX20;EAF1;NAF1;AP3B1;RBM14;MFAP1;POLD1;ATRX	Physical Interaction	
EIF2AK2	EIF2AK2;EIF2AK1;PKR;PPP1R83;PRKR	5610	GeneID:5610;HGNC:HGNC:9437;MIM:176871;ensembl_gene_id:ENSG00000055332	Homo sapiens	DBNL;FANCC;PRKRIP1;STAT1;PPP1CA;TP53;ILF3;METAP2;DNAJC3;EIF2AK2;TARBP2;MAP3K5;PRKRA;CHUK;IKBKB;EIF2S1;DHX58;MAVS;HDGF;ELAVL1;MAP3K7;ISG15;CUL3;CAND1;Jak2;HSP90AA1;NPM1;DHX9;PTGES3;HECW2;STAU2;EGFR;TRAF2;TRAF5;SUI2;CYP1A1;CCNA2;NTRK1;IFI16;SCARB2;RPL10;ELMSAN1;CDCA5;CHMP4B;Kif18b;Rrbp1;MACROD1;MCM2;CDC37;THAP12;MECP2;GPX7;IQCF1;PTEN;PTEN;COX15;DLD;DLST;MIRLET7A1;MIRLET7A2;MIRLET7A3;MIRLET7B;MIRLET7C;MIRLET7D;MIRLET7E;MIRLET7F1;MIRLET7F2;MIRLET7G;MIRLET7I;MIR98;MIR1-1;MIR1-2;MIR7-1;MIR7-2;MIR7-3;MIR9-1;MIR9-2;MIR9-3;MIR10B;MIR15A;MIR15B;MIR16-1;MIR16-2;MIR17;MIR18A;MIR18B;MIR19A;MIR19B1;MIR19B2;MIR20A;MIR20B;MIR21;MIR25;MIR29A;MIR29B1;MIR29B2;MIR29C;MIR31;MIR34A;MIR34B;MIR34C;MIR92A1;MIR92A2;MIR93;MIR106A;MIR106B;MIR107;MIR122;MIR128-1;MIR128-2;MIR138-1;MIR138-2;MIR140;MIR141;MIR143;MIR145;MIR155;MIR199A1;MIR199A2;MIR200A;MIR200B;MIR200C;MIR205;MIR206;MIR214;MIR221;MIR222;MIR363;MIR429;MIR451A;TRIP4;PCBP1;EFTUD2;ESR2;LARP7;RECQL4;MYC;PHB;TPT1;NR2C2;HDAC2;NHLRC2;NT00079195;HNRNPCL1;PABPC4;EBNA1BP2;JAK1;MOV10;HIST2H2AC;ILF2;LMNA;PPP2R5A;SSB;FARSB;DHX30;GNL3;EIF2A;IGF2BP2;LYAR;RPS3A;IL7R;PURA;PDGFRB;ZNF346;HIST1H2AB;HIST1H1C;IGF2BP3;IFRD1;ATP6V1F;GTPBP4;NOC3L;TOLLIP;TRAF6;NOP2;PPP1CC;RPL6;RPLP0;HNRNPC;DICER1;RPS2;EDC4;STAT3;FTSJ3;CDK3;TYK2;FARSA;CCDC124;NOP53;XRN2;EIF6;TOP1;STAU1;KCTD17;HNRNPCL1	Physical Interaction;Genetic Interaction	
EIF2AK3	EIF2AK3;PEK;PERK;WRS	9451	GeneID:9451;HGNC:HGNC:3255;MIM:604032;ensembl_gene_id:ENSG00000172071	Homo sapiens	DNAJC3;HSP90AA1;HSPA5;BCL6;RHBDL3;COPS5;SUZ12;HLA-DRA;HLA-DRA;HLA-DRA;HLA-DRA;HLA-DRA;HLA-DRA;HLA-DRA;HLA-DRA;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;HLA-C;OGFOD3;GLT8D2;HLA-E;HLA-E;HLA-E;HLA-E;HLA-E;HLA-E;HLA-E;CHRNA9;TCTN3;TMEM216;FOXK1;FOXK2;TRAF1;RPN2;DLK2;B4GAT1;SCN3B;P2RX2;CHRND;ASIC4;PCDHGB4;TMPRSS3;PCDHA4;HLA-DRB1;HLA-DRB1;HLA-DRB1;HLA-DRB1;HLA-DRB1;PCDHA12;TGIF2LY;NCEH1;PCDH20;VAPA;SFTPC;PCDHB11;ASIC1;ARSG;GRIA3;ILF3;ILF2;CANX;CANX;PTRH2;VIRMA;NFE2L2;HSP90B1;EIF2S1;AKT1	Physical Interaction	
EIF2AK4	EIF2AK4;GCN2;PVOD2	440275	GeneID:440275;HGNC:HGNC:19687;HPRD:18447;MIM:609280;ensembl_gene_id:ENSG00000128829	Homo sapiens	USP46;ARRB2;TRAP1;FAM153B;PPP1CC;PPP1CA;CROT;TARS;MATR3;LRPPRC;Edc4;Sept11;DEF8;TKT;PALM2;PSMC3;MDM4;C6orf141;CRYL1;HNRNPL;TMPO;TNIP2;TNRC6A;VIRMA	Physical Interaction	
